state,population_new,density,pop_old,square_km,updated_density,moh_bed,special_beds,non_moh_beds,total_gov_beds,pvt_beds,total_beds,icu_beds,ventilator,,,,,,,,,,
Johor,3764300,174,3350000,19252.87356,196,"4,068","1,132",0,"5,200",1230,"6,430",77,NA,,,,,,,,,,
Kedah,2180600,205,1950000,9512.195122,229,"2,673",0,0,"2,673",533,"3,206",32,NA,,,,,,,,,,
Kelantan,1885700,102,1540000,15098.03922,125,"1,843",0,816,"2,659",176,"2,835",37,NA,,,,,,,,,,
Melaka,930700,493,820000,1663.286004,560,"1,276",0,144,"1,420",725,"2,145",24,NA,,,,,,,,,,
Negeri Sembilan,1245700,153,1020000,6666.666667,187,"1,789",0,36,"1,825",559,"2,384",20,NA,,,,,,,,,,
Pahang,1674600,42,1500000,35714.28571,47,"2,316",0,330,"2,646",282,"2,928",49,NA,,,,,,,,,,
Perak,2512100,112,2350000,20982.14286,120,"3,595","1,800",147,"5,542",1023,"6,565",62,NA,,,,,,,,,,
Perlis,254000,282,230000,815.6028369,311,508,0,0,508,0,508,11,NA,,,,,,,,,,
Pulau Pinang,1774600,1490,1560000,1046.979866,1695,"2,118",0,0,"2,118",2037,"4,155",53,NA,,,,,,,,,,
Sabah,3903400,44,3210000,72954.54545,54,"3,894",914,40,"4,848",134,"4,982",61,NA,,,,,,,,,,
Sarawak,2812800,20,2470000,123500,23,"3,708",343,0,"4,051",375,"4,426",52,NA,,,,,,,,,,
Selangor,6528400,674,5460000,8100.890208,806,"5,424",90,88,"5,602",3417,"9,019",131,NA,,,,,,,,,,
Terengganu,1245700,79,1040000,13164.55696,95,"1,680",0,0,"1,680",33,"1,713",22,NA,,,,,,,,,,
W.P. Kuala Lumpur,1780700,6891,1670000,242.3450878,7348,"2,125",284,"2,586","4,995",3271,"8,266",30,NA,,,,,,,,,,
W.P. Labuan,99300,955,70000,73.29842932,1355,122,0,0,122,0,122,5,NA,,,,,,,,,,
W.P. Putrajaya,103800,1478,90000,60.89309878,1705,470,252,0,722,0,722,15,NA,,,,,,,,,,
Malaysia,32696400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
