"","state","mean_ir","mean_mr","mean_rt","mean_lower","mean_upper","perc_change_ir","perc_change_mr","perc_change_rt","mean_rt_full","mean_bor","mean_ior","mean_vor","perc_change_bor","perc_change_ior","perc_change_vor","trend_bor","trend_ior","trend_vor"
"1","Malaysia",3.1,0,0.63,0.61,0.71,12.4,0,-32.3,"0.63 (0.6, 0.7)",0.71,0.71,0.19,4.7,3.4,4.8,"up","up","up"
"2","W.P. Kuala Lumpur",11.07,0,0.7,0.6,0.8,16.5,0,-25.8,"0.7 (0.6, 0.8)",0.67,0.83,0.2,-11.2,44.5,45.1,"down","up","up"
"3","W.P. Putrajaya",7.99,0,0.79,0.37,1.37,-31,0,-42.7,"0.79 (0.4, 1.4)",0.61,0.59,0.16,6.3,-20.4,-12.7,"up","down","down"
"4","Terengganu",7.79,0,0.79,0.61,0.91,2.6,0,-15.4,"0.79 (0.6, 0.9)",0.85,0.87,0.19,7.5,31.5,32.4,"up","up","up"
"5","Melaka",5.1,0,0.59,0.44,0.8,38.9,0,-24.1,"0.59 (0.4, 0.8)",0.77,0.75,0.16,-4.7,1.3,6.8,"down","up","up"
"6","Perlis",4.99,0,0.59,0.31,0.94,91.8,0,-4.7,"0.59 (0.3, 0.9)",0.77,0.65,0.3,0.9,26.2,28.9,"up","up","up"
"7","Negeri Sembilan",4.09,0,0.63,0.47,0.8,37.5,0,-20,"0.63 (0.5, 0.8)",0.64,0.96,0.11,5.2,13.6,-3.1,"up","up","down"
"8","Selangor",3.97,0,0.67,0.59,0.76,2.2,0,-32.9,"0.67 (0.6, 0.8)",0.75,0.74,0.15,9,3.3,-0.4,"up","up","down"
"9","Johor",3.71,0,0.7,0.6,0.81,18.7,0,-23.4,"0.7 (0.6, 0.8)",0.81,0.84,0.2,35.6,2.6,6,"up","up","up"
"10","W.P. Labuan",2.29,0,0.94,0.23,2.14,23.1,0,-43.1,"0.94 (0.2, 2.1)",0.53,0.65,0.09,23,23.1,20,"up","up","up"
"11","Pulau Pinang",2.27,0,0.57,0.41,0.77,3.9,0,-40.3,"0.57 (0.4, 0.8)",0.72,0.64,0.21,-6.2,-0.4,7.6,"down","down","up"
"12","Kedah",1.83,0,0.6,0.41,0.76,-1.5,0,-38.2,"0.6 (0.4, 0.8)",0.79,0.68,0.23,-3.6,-3.4,22.8,"down","down","up"
"13","Kelantan",1.7,0,0.54,0.37,0.76,54.5,0,-32.1,"0.54 (0.4, 0.8)",0.67,0.78,0.26,-6.2,1.4,-7.1,"down","up","down"
"14","Pahang",1.6,0,0.57,0.37,0.81,57.7,0,-28.6,"0.57 (0.4, 0.8)",0.67,0.67,0.31,-4.5,7.8,-4.3,"down","up","down"
"15","Perak",1,0,0.66,0.43,0.94,16.7,0,-31.3,"0.66 (0.4, 0.9)",0.61,0.6,0.23,10.6,-0.9,2.9,"up","down","up"
"16","Sarawak",0.59,0,0.76,0.44,1.13,-34.9,0,-48,"0.76 (0.4, 1.1)",0.68,0.61,0.2,1.3,2.3,-6.9,"up","up","down"
"17","Sabah",0.41,0,0.89,0.53,1.34,7.4,0,-11.4,"0.89 (0.5, 1.3)",0.68,0.65,0.18,5.9,-4.1,11.7,"up","down","up"
